start,steps_to_1,maximum
1914,55,9232
1915,174,1276936
1916,55,9232
1917,55,9232
1918,130,41524
1919,130,65608
1920,24,1920
1921,143,9232
1922,50,2884
1923,50,8656
1924,50,2752
1925,50,5776
1926,50,4336
1927,50,13012
1928,24,1928
1929,55,10996
1930,24,2896
1931,143,9232
1932,24,2176
1933,24,5800
1934,143,9232
1935,143,19600
1936,99,9232
1937,50,5812
1938,50,4912
1939,50,8728
1940,99,9232
1941,99,9232
1942,37,4372
1943,37,13120
1944,99,9232
1945,37,6568
1946,99,9232
1947,81,22192
1948,143,9232
1949,143,9232
1950,143,9880
1951,174,33352
1952,24,1952
1953,37,5860
1954,99,9232
1955,99,9232
1956,50,4192
1957,50,5872
1958,50,4408
1959,81,80512
1960,24,1960
1961,174,190996
1962,24,2944
1963,81,9448
1964,143,9232
1965,143,9232
1966,143,9232
1967,99,19924
1968,50,1968
1969,24,5908
1970,24,3328
1971,24,8872
1972,50,1972
1973,50,5920
1974,37,7504
1975,37,13336
1976,50,1976
1977,143,9232
1978,50,2968
1979,143,10024
1980,99,14308
1981,99,14308
1982,99,15064
1983,50,50848
1984,112,9232
1985,50,5956
1986,94,8080
1987,94,8944
1988,24,1988
1989,24,5968
1990,24,4480
1991,50,13444
1992,50,1992
1993,50,10096
1994,50,2992
1995,50,8980
1996,50,2248
1997,50,5992
1998,50,11392
1999,50,20248
2000,112,9232
2001,50,6004
2002,143,21688
2003,143,21688
2004,112,9232
2005,112,9232
2006,42,8584
2007,42,13552
2008,68,9232
2009,24,6784
2010,68,9232
2011,42,15280
2012,68,9232
2013,68,9232
2014,94,39364
2015,94,39364
2016,112,9232
2017,68,14560
2018,112,9232
2019,112,9232
2020,63,2752
2021,63,6064
2022,63,4552
2023,156,23056
2024,112,9232
2025,156,25972
2026,112,9232
2027,156,17332
2028,37,2896
2029,37,6088
2030,37,6856
2031,63,34720
2032,50,4372
2033,112,9232
2034,156,9232
2035,156,9232
2036,50,4372
2037,50,6112
2038,63,5812
2039,63,13768
2040,50,13120
2041,63,8728
2042,50,13120
2043,156,44224
2044,63,39364
2045,63,39364
2046,63,118096
2047,156,1276936
2048,11,2048
2049,156,9232
2050,37,3076
2051,37,9232
2052,37,2052
2053,37,6160
2054,37,4624
2055,37,13876
2056,125,9232
2057,112,10420
2058,125,9232
2059,37,9268
2060,125,9232
2061,125,9232
2062,37,6964
2063,37,20896
2064,125,9232
2065,125,9232
2066,156,9232
2067,156,9304
2068,125,9232
2069,125,9232
2070,125,9232
2071,125,13984
2072,125,9232
2073,37,7000
2074,125,9232
2075,94,95956
2076,63,3508
2077,63,6232
2078,63,10528
2079,50,31588
2080,32,2080
2081,63,6244
2082,125,9232
2083,125,9376
2084,125,9232
2085,125,9232
2086,125,9232
2087,112,15856
2088,32,2088
2089,63,23812
2090,32,3136
2091,37,9412
2092,125,9232
2093,125,9232
2094,125,9232
2095,107,21220
2096,32,2096
2097,63,6292
2098,63,3544
2099,63,9448
2100,32,2100
2101,32,6304
2102,94,45520
2103,94,45520
2104,81,9232
2105,125,9232
2106,81,9232
2107,156,21688
2108,81,9232
2109,81,9232
2110,169,250504
2111,169,250504
2112,32,2112
2113,81,9232
2114,81,9232
2115,81,9520
2116,32,2116
2117,32,6352
2118,32,4768
2119,81,14308
2120,125,9232
2121,107,39364
2122,125,9232
2123,32,9556
2124,125,9232
2125,125,9232
2126,76,8080
2127,76,21544
2128,32,2128
2129,125,9232
2130,76,12148
2131,76,12148
2132,32,2132
2133,32,6400
2134,63,4804
2135,63,14416
2136,24,2136
2137,63,7216
2138,24,3208
2139,76,61720
2140,24,3616
2141,24,6424
2142,169,10852
2143,169,32560
2144,32,2144
2145,76,8152
2146,24,3220
2147,24,9664
2148,24,2148
2149,24,6448
2150,24,4840
2151,107,176740
2152,32,2152
2153,76,39364
2154,32,3232
2155,169,1276936
2156,50,9232
2157,50,9232
2158,50,9232
2159,125,41524
2160,45,2160
2161,32,6484
2162,138,9232
2163,138,9736
2164,45,2164
2165,45,6496
2166,138,9232
2167,138,14632
2168,45,2752
2169,76,13912
2170,45,3256
2171,50,10996
2172,138,9232
2173,138,9232
2174,138,24784
2175,76,74356
2176,19,2176
2177,138,9232
2178,45,3268
2179,45,9808
2180,45,2180
2181,45,6544
2182,45,4912
2183,138,14740
2184,32,2184
2185,107,95956
2186,32,3280
2187,76,10528
2188,32,2464
2189,32,6568
2190,76,7396
2191,76,22192
2192,94,9232
2193,138,9232
2194,138,9232
2195,138,9880
2196,94,9232
2197,94,9232
2198,32,4948
2199,32,14848
2200,94,9232
2201,138,9232
2202,94,9232
2203,50,25108
2204,45,4192
2205,45,6616
2206,45,11176
2207,169,190996
2208,19,2208
2209,76,9448
2210,94,9232
2211,94,9952
2212,138,9232
2213,138,9232
2214,138,9232
2215,120,345544
2216,19,2216
2217,76,95956
2218,19,3328
2219,94,9988
2220,32,2500
2221,32,6664
2222,32,7504
2223,182,250504
2224,45,2224
2225,138,9232
2226,138,9232
2227,138,10024
2228,45,2228
2229,45,6688
2230,94,14308
2231,94,15064
2232,45,2232
2233,138,9232
2234,45,3352
2235,45,11320
2236,89,8080
2237,89,8080
2238,89,17008
2239,138,51028
2240,19,2240
2241,45,6724
2242,45,4264
2243,45,10096
2244,45,2244
2245,45,6736
2246,45,5056
2247,76,15172
2248,45,2248
2249,45,11392
2250,45,3376
2251,37,10132
2252,45,2536
2253,45,6760
2254,138,21688
2255,138,22840
2256,19,2256
2257,37,6772
2258,37,8584
2259,37,10168
2260,19,2260
2261,19,6784
2262,37,5092
2263,37,15280
2264,63,9232
2265,63,9232
2266,63,9232
2267,89,39364
2268,63,9232
2269,63,9232
2270,63,14560
2271,63,34504
2272,107,9232
2273,138,65608
2274,19,3412
2275,19,10240
2276,58,2752
2277,58,6832
2278,58,5128
2279,151,25972
2280,107,9232
2281,151,17332
2282,107,9232
2283,58,13012
2284,32,2896
2285,32,6856
2286,32,7720
2287,120,250504
2288,107,9232
2289,107,9232
2290,151,9232
2291,151,10312
2292,107,9232
2293,107,9232
2294,58,5812
2295,58,15496
2296,45,4372
2297,58,8728
2298,45,4372
2299,151,44224
2300,45,13120
2301,45,13120
2302,58,39364
2303,58,118096
2304,27,2304
2305,107,9232
2306,151,9232
2307,151,10384
2308,32,2308
2309,32,6928
2310,32,5200
2311,151,15604
2312,32,2312
2313,107,11716
2314,32,3472
2315,107,10420
2316,32,2608
2317,32,6952
2318,58,7828
2319,58,23488
2320,120,9232
2321,32,6964
2322,182,190996
2323,182,190996
2324,120,9232
2325,120,9232
2326,151,9232
2327,151,15712
2328,120,9232
2329,151,9232
2330,120,9232
2331,107,59776
2332,32,3940
2333,32,7000
2334,32,11824
2335,89,95956
2336,120,9232
2337,58,7012
2338,58,3508
2339,58,10528
2340,58,2968
2341,58,7024
2342,58,5272
2343,151,17800
2344,120,9232
2345,151,26728
2346,120,9232
2347,107,14308
2348,120,9232
2349,120,9232
2350,120,9232
2351,58,23812
2352,120,9232
2353,32,7060
2354,32,3976
2355,32,10600
2356,120,9232
2357,120,9232
2358,58,13444
2359,58,15928
2360,58,2360
2361,58,10096
2362,58,3544
2363,58,11968
2364,58,5992
2365,58,7096
2366,89,45520
2367,89,53944
2368,27,2368
2369,120,9232
2370,151,21688
2371,151,21688
2372,76,9232
2373,76,9232
2374,76,9232
2375,164,250504
2376,76,9232
2377,50,12040
2378,76,9232
2379,76,10708
2380,76,9232
2381,76,9232
2382,50,15280
2383,50,24136
2384,27,2384
2385,102,39364
2386,102,39364
2387,102,39364
2388,27,2388
2389,27,7168
2390,120,9232
2391,120,16144
2392,120,9232
2393,71,8080
2394,120,9232
2395,32,18196
2396,120,9232
2397,120,9232
2398,71,12148
2399,71,36448
2400,19,2400
2401,164,17332
2402,58,4372
2403,58,10816
2404,58,4372
2405,58,7216
2406,58,5416
2407,71,61720
2408,19,2408
2409,120,18304
2410,19,3616
2411,164,10852
2412,71,5812
2413,71,7240
2414,71,8152
2415,120,27520
2416,19,2416
2417,19,7252
2418,58,13120
2419,58,13120
2420,19,2420
2421,19,7264
2422,71,39364
2423,71,39364
2424,45,3076
2425,164,1276936
2426,45,3640
2427,120,12292
2428,45,9232
2429,45,9232
2430,164,27700
2431,164,83104
2432,27,2432
2433,45,7300
2434,133,9232
2435,133,10960
2436,133,9232
2437,133,9232
2438,133,9232
2439,133,16468
2440,40,2440
2441,71,13912
2442,40,3664
2443,45,10996
2444,40,2752
2445,40,7336
2446,133,9232
2447,133,24784
2448,40,2448
2449,133,9232
2450,133,9232
2451,133,11032
2452,40,2452
2453,40,7360
2454,133,9232
2455,133,16576
2456,40,2456
2457,133,9232
2458,40,3688
2459,102,95956
2460,71,10528
2461,71,10528
2462,71,12472
2463,208,250504
2464,27,2464
2465,71,7396
2466,133,9232
2467,133,11104
2468,133,9232
2469,133,9232
2470,133,9232
2471,133,18772
2472,27,2472
2473,120,42280
2474,27,3712
2475,71,23812
2476,133,9232
2477,133,9232
2478,133,9232
2479,45,25108
2480,89,9232
2481,40,7444
2482,40,4192
2483,40,11176
2484,89,9232
2485,89,9232
2486,71,9448
2487,71,16792
2488,89,9232
2489,40,8404
2490,89,9232
2491,102,45520
2492,133,9232
2493,133,9232
2494,133,18952
2495,71,95956
2496,40,2496
2497,89,9232
2498,177,250504
2499,177,250504
2500,27,2500
2501,27,7504
2502,27,5632
2503,63,16900
2504,133,9232
2505,89,12688
2506,133,9232
2507,40,11284
2508,133,9232
2509,133,9232
2510,89,14308
2511,89,25432
2512,40,2512
2513,133,9232
2514,40,9556
2515,40,11320
2516,40,2516
2517,40,7552
2518,84,8080
2519,84,17008
2520,40,2520
2521,40,8512
2522,40,3784
2523,133,19168
2524,40,4264
2525,40,7576
2526,177,138400
2527,177,138400
2528,40,2528
2529,71,14416
2530,40,3796
2531,40,11392
2532,32,3616
2533,32,7600
2534,32,5704
2535,84,61720
2536,40,2536
2537,133,21688
2538,40,3808
2539,177,32560
2540,32,3220
2541,32,7624
2542,32,8584
2543,177,48904
2544,58,9232
2545,40,7636
2546,32,4840
2547,32,11464
2548,58,9232
2549,58,9232
2550,84,39364
2551,84,39364
2552,58,9232
2553,177,1276936
2554,58,9232
2555,58,14560
2556,133,41524
2557,133,41524
2558,133,65608
2559,115,897856
2560,14,2560
2561,146,9232
2562,53,3844
2563,53,11536
2564,53,2752
2565,53,7696
2566,53,5776
2567,146,17332
2568,27,2568
2569,53,13012
2570,27,3856
2571,53,11572
2572,27,2896
2573,27,7720
2574,146,9232
2575,146,26080
2576,102,9232
2577,27,7732
2578,146,9232
2579,146,11608
2580,102,9232
2581,102,9232
2582,53,5812
2583,53,17440
2584,102,9232
2585,53,8728
2586,102,9232
2587,146,44224
2588,40,4372
2589,40,7768
2590,40,13120
2591,53,39364
2592,27,2592
2593,40,7780
2594,102,9232
2595,102,11680
2596,146,9232
2597,146,9232
2598,146,9232
2599,146,19744
2600,27,2600
2601,177,33352
2602,27,3904
2603,102,11716
2604,102,9232
2605,102,9232
2606,102,9232
2607,84,33424
2608,27,2608
2609,53,7828
2610,53,4408
2611,53,11752
2612,27,2612
2613,27,7840
2614,177,190996
2615,177,190996
2616,146,9232
2617,84,9448
2618,146,9232
2619,102,13264
2620,146,9232
2621,146,9232
2622,102,19924
2623,102,59776
2624,115,9232
2625,27,7876
2626,27,3940
2627,27,11824
2628,53,2628
2629,53,7888
2630,53,5920
2631,190,250504
2632,53,2632
2633,40,13336
2634,53,3952
2635,53,11860
2636,53,2968
2637,53,7912
2638,146,10024
2639,146,26728
2640,115,9232
2641,102,14308
2642,102,15064
2643,102,15064
2644,115,9232
2645,115,9232
2646,53,5956
2647,53,17872
2648,27,2648
2649,97,8944
2650,27,3976
2651,146,22660
2652,27,4480
2653,27,7960
2654,53,13444
2655,53,40336
2656,115,9232
2657,53,10096
2658,53,3988
2659,53,11968
2660,53,2660
2661,53,7984
2662,53,5992
2663,84,45520
2664,115,9232
2665,53,20248
2666,115,9232
2667,45,12004
2668,146,21688
2669,146,21688
2670,146,21688
2671,45,30436
2672,71,9232
2673,115,9232
2674,45,8584
2675,45,12040
2676,71,9232
2677,71,9232
2678,27,6784
2679,27,18088
2680,71,9232
2681,45,15280
2682,71,9232
2683,71,13588
2684,97,39364
2685,97,39364
2686,97,39364
2687,97,103336
2688,14,2688
2689,71,14560
2690,115,9232
2691,115,12112
2692,66,2752
2693,66,8080
2694,66,6064
2695,27,18196
2696,115,9232
2697,159,23056
2698,115,9232
2699,66,12148
2700,115,9232
2701,115,9232
2702,159,17332
2703,159,27376
2704,53,4372
2705,40,8116
2706,40,6856
2707,40,12184
2708,53,4372
2709,53,8128
2710,115,9232
2711,115,18304
2712,53,4372
2713,159,9232
2714,53,4372
2715,97,223072
2716,66,5812
2717,66,8152
2718,66,13768
2719,66,69712
2720,14,2720
2721,66,8728
2722,53,13120
2723,53,13120
2724,66,39364
2725,66,39364
2726,66,39364
2727,128,95956
2728,14,2728
2729,159,1276936
2730,14,4096
2731,115,12292
2732,40,3076
2733,40,8200
2734,40,9232
2735,159,27700
2736,128,9232
2737,40,8212
2738,40,4624
2739,40,12328
2740,128,9232
2741,128,9232
2742,115,10420
2743,115,18520
2744,128,9232
2745,40,9268
2746,128,9232
2747,66,13912
2748,40,6964
2749,40,8248
2750,40,20896
2751,172,225988
2752,35,2752
2753,128,9232
2754,159,9232
2755,159,12400
2756,128,9232
2757,128,9232
2758,128,9232
2759,159,18628
2760,128,9232
2761,128,13984
2762,128,9232
2763,40,12436
2764,128,9232
2765,128,9232
2766,97,95956
2767,97,95956
2768,35,2768
2769,66,8308
2770,66,10528
2771,66,12472
2772,35,2772
2773,35,8320
2774,66,6244
2775,66,18736
2776,128,9232
2777,128,9376
2778,128,9232
2779,159,26728
2780,128,9232
2781,128,9232
2782,115,15856
2783,115,42280
2784,35,2784
2785,66,23812
2786,35,4180
2787,35,12544
2788,128,9232
2789,128,9232
2790,128,9232
2791,66,80512
2792,35,2792
2793,110,21220
2794,35,4192
2795,66,15928
2796,66,3544
2797,66,8392
2798,66,9448
2799,66,71764
2800,84,9232
2801,35,8404
2802,97,45520
2803,97,45520
2804,84,9232
2805,84,9232
2806,128,9232
2807,128,18952
2808,84,9232
2809,159,21688
2810,84,9232
2811,58,40552
2812,172,250504
2813,172,250504
2814,172,250504
2815,159,144340
2816,22,2816
2817,84,9232
2818,84,9232
2819,84,12688
2820,35,2820
2821,35,8464
2822,35,6352
2823,58,19060
2824,128,9232
2825,84,14308
2826,128,9232
2827,110,39364
2828,128,9232
2829,128,9232
2830,35,9556
2831,35,28672
2832,35,2832
2833,128,9232
2834,79,8080
2835,79,12760
2836,35,2836
2837,35,8512
2838,128,9232
2839,128,19168
2840,35,2840
2841,79,12148
2842,35,4264
2843,172,138400
2844,66,4804
2845,66,8536
2846,66,14416
2847,172,43252
2848,35,2848
2849,66,8548
2850,27,4276
2851,27,12832
2852,27,3616
2853,27,8560
2854,27,6424
2855,128,21688
2856,35,2856
2857,172,32560
2858,35,4288
2859,79,12868
2860,27,3220
2861,27,8584
2862,27,9664
2863,79,28996
2864,35,2864
2865,27,8596
2866,27,4840
2867,27,12904
2868,35,2868
2869,35,8608
2870,79,39364
2871,79,39364
2872,53,9232
2873,172,1276936
2874,53,9232
2875,53,14560
2876,53,9232
2877,53,9232
2878,128,41524
2879,128,65608
2880,22,2880
2881,35,8644
2882,141,9232
2883,141,12976
2884,48,2884
2885,48,8656
2886,48,6496
2887,128,24676
2888,48,2888
2889,141,14632
2890,48,4336
2891,48,13012
2892,48,3256
2893,48,8680
2894,53,10996
2895,53,29320
2896,22,2896
2897,141,9232
2898,141,24784
2899,141,24784
2900,22,2900
2901,22,8704
2902,141,9232
2903,141,19600
2904,48,2904
2905,48,9808
2906,48,4360
2907,141,22084
2908,48,4912
2909,48,8728
2910,141,14740
2911,141,44224
2912,97,9232
2913,110,95956
2914,35,4372
2915,35,13120
2916,35,2916
2917,35,8752
2918,35,6568
2919,216,250504
2920,97,9232
2921,79,22192
2922,97,9232
2923,141,13156
2924,141,9232
2925,141,9232
2926,141,9880
2927,172,33352
2928,97,9232
2929,97,9232
2930,35,4948
2931,35,13192
2932,97,9232
2933,97,9232
2934,141,9232
2935,141,19816
2936,48,4192
2937,53,25108
2938,48,4408
2939,79,80512
2940,48,11176
2941,48,11176
2942,172,190996
2943,172,190996
2944,22,2944
2945,79,9448
2946,97,9232
2947,97,13264
2948,141,9232
2949,141,9232
2950,141,9232
2951,97,19924
2952,22,2952
2953,123,345544
2954,22,4432
2955,141,18952
2956,22,3328
2957,22,8872
2958,97,9988
2959,97,29968
2960,48,2960
2961,35,8884
2962,35,7504
2963,35,13336
2964,48,2964
2965,48,8896
2966,141,9232
2967,141,20032
2968,48,2968
2969,141,10024
2970,48,4456
2971,48,33856
2972,97,14308
2973,97,14308
2974,97,15064
2975,48,50848
2976,22,2976
2977,141,9232
2978,48,4468
2979,48,13408
2980,92,8080
2981,92,8944
2982,92,8080
2983,141,22660
2984,22,2984
2985,141,51028
2986,22,4480
2987,48,13444
2988,48,4264
2989,48,8968
2990,48,10096
2991,48,30292
2992,48,2992
2993,48,8980
2994,48,5056
2995,48,13480
2996,48,2996
2997,48,8992
2998,48,11392
2999,48,20248
3000,48,3000
3001,40,10132
3002,48,4504
3003,40,15208
3004,141,21688
3005,141,21688
3006,141,22840
3007,154,250504
3008,110,9232
3009,40,9028
3010,40,8584
3011,40,13552
3012,22,3012
3013,22,9040
3014,22,6784
3015,92,28996
3016,66,9232
3017,40,15280
3018,66,9232
3019,66,13588
3020,66,9232
3021,66,9232
3022,92,39364
3023,92,39364
3024,110,9232
3025,66,9232
3026,66,14560
3027,66,14560
3028,110,9232
3029,110,9232
3030,141,65608
3031,141,65608
3032,61,3032
3033,22,10240
3034,61,4552
3035,154,23056
3036,61,5128
3037,61,9112
3038,154,25972
3039,154,46168
3040,110,9232
3041,154,17332
3042,110,9232
3043,110,13696
3044,35,3044
3045,35,9136
3046,35,6856
3047,61,34720
3048,110,9232
3049,123,250504
3050,110,9232
3051,154,26080
3052,154,9232
3053,154,9232
3054,154,10312
3055,92,223072
3056,48,4372
3057,110,9232
3058,61,5812
3059,61,13768
3060,48,4372
3061,48,9184
3062,61,8728
3063,61,20680
3064,48,13120
3065,154,44224
3066,48,13120
3067,61,17476
3068,61,39364
3069,61,39364
3070,61,118096
3071,154,1276936
3072,17,3072
3073,110,9232
3074,154,9232
3075,154,13840
3076,35,3076
3077,35,9232
3078,35,6928
3079,154,20788
3080,35,3080
3081,154,15604
3082,35,4624
3083,35,13876
3084,35,3472
3085,35,9256
3086,110,10420
3087,110,31264
3088,123,9232
3089,35,9268
3090,61,7828
3091,61,13912
3092,123,9232
3093,123,9280
3094,35,6964
3095,35,20896
3096,123,9232
3097,185,190996
3098,123,9232
3099,136,67048
3100,154,9232
3101,154,9304
3102,154,15712
3103,92,59668
3104,123,9232
3105,154,9316
3106,123,9232
3107,123,13984
3108,35,3940
3109,35,9328
3110,35,7000
3111,35,23632
3112,123,9232
3113,92,95956
3114,123,9232
3115,61,14020
3116,61,3508
3117,61,9352
3118,61,10528
3119,48,31588
3120,123,9232
3121,61,9364
3122,61,5272
3123,61,14056
3124,123,9232
3125,123,9376
3126,154,26728
3127,154,26728
3128,123,9232
3129,110,14308
3130,123,9232
3131,110,15856
3132,123,9232
3133,123,9400
3134,61,23812
3135,61,71440
3136,30,3136
3137,35,9412
3138,35,4708
3139,35,14128
3140,123,9232
3141,123,9424
3142,123,9232
3143,105,21220
3144,61,3144
3145,61,15928
3146,61,4720
3147,123,14164
3148,61,3544
3149,61,9448
3150,61,11968
3151,61,31912
3152,30,3152
3153,61,9460
3154,92,45520
3155,92,45520
3156,30,3156
3157,30,9472
3158,123,9232
3159,123,21328
3160,79,9232
3161,154,21688
3162,79,9232
3163,53,40552
3164,79,9232
3165,79,9496
3166,167,250504
3167,167,250504
3168,30,3168
3169,53,12040
3170,79,9232
3171,79,14272
3172,79,9232
3173,79,9520
3174,79,9232
3175,198,695464
3176,30,3176
3177,53,24136
3178,30,4768
3179,79,14308
3180,105,39364
3181,105,39364
3182,105,39364
3183,61,40804
3184,123,9232
3185,30,9556
3186,123,9232
3187,123,14344
3188,123,9232
3189,123,9568
3190,74,8080
3191,74,21544
3192,123,9232
3193,35,18196
3194,123,9232
3195,74,16180
3196,74,12148
3197,74,12148
3198,74,36448
3199,167,138400
3200,30,3200
3201,167,17332
3202,61,4804
3203,61,14416
3204,61,4372
3205,61,9616
3206,61,7216
3207,48,21652
3208,22,3208
3209,74,61720
3210,22,4816
3211,123,14452
3212,22,3616
3213,22,9640
3214,167,10852
3215,167,32560
3216,22,3216
3217,74,9652
3218,74,8152
3219,74,14488
3220,22,3220
3221,22,9664
3222,22,7252
3223,22,21760
3224,22,3224
3225,61,13120
3226,22,4840
3227,105,176740
3228,74,39364
3229,74,39364
3230,74,39364
3231,167,209680
3232,30,3232
3233,167,1276936
3234,48,4852
3235,48,14560
3236,48,9232
3237,48,9712
3238,48,9232
3239,123,41524
3240,30,3240
3241,167,83104
3242,30,4864
3243,48,14596
3244,136,9232
3245,136,9736
3246,136,10960
3247,48,32884
3248,43,3248
3249,136,9748
3250,136,9232
3251,136,14632
3252,43,3252
3253,43,9760
3254,74,13912
3255,74,21976
3256,43,3256
3257,48,10996
3258,43,4888
3259,48,20896
3260,136,9232
3261,136,9784
3262,136,24784
3263,74,74356
3264,30,3264
3265,136,9796
3266,136,9232
3267,136,14704
3268,43,3268
3269,43,9808
3270,43,7360
3271,136,22084
3272,43,3272
3273,136,16576
3274,43,4912
3275,136,14740
3276,43,3688
3277,43,9832
3278,105,95956
3279,105,95956
3280,30,3280
3281,74,10528
3282,74,12472
3283,74,14776
3284,30,3284
3285,30,9856
3286,74,7396
3287,74,22192
3288,136,9232
3289,136,11104
3290,136,9232
3291,136,25000
3292,136,9232
3293,136,9880
3294,136,18772
3295,136,50056
3296,92,9232
3297,123,42280
3298,30,4948
3299,30,14848
3300,136,9232
3301,136,9904
3302,136,9232
3303,74,37636
3304,92,9232
3305,48,25108
3306,92,9232
3307,74,80512
3308,43,4192
3309,43,9928
3310,43,11176
3311,167,190996
3312,92,9232
3313,92,9940
3314,74,9448
3315,74,14920
3316,92,9232
3317,92,9952
3318,43,8404
3319,43,22408
3320,136,9232
3321,105,45520
3322,136,9232
3323,118,345544
3324,136,18952
3325,136,18952
3326,74,95956
3327,74,170584
3328,17,3328
3329,92,9988
3330,180,250504
3331,180,250504
3332,30,3332
3333,30,10000
3334,30,7504
3335,180,250504
3336,136,9232
3337,66,16900
3338,136,9232
3339,92,15028
3340,136,9232
3341,136,10024
3342,43,11284
3343,43,33856
3344,43,3344
3345,136,10036
3346,92,14308
3347,92,15064
3348,43,3348
3349,43,10048
3350,136,9232
3351,136,22624
3352,43,3352
3353,43,11320
3354,43,5032
3355,92,86020
3356,87,8080
3357,87,10072
3358,87,17008
3359,136,51028
3360,43,3360
3361,43,10084
3362,43,5044
3363,43,15136
3364,43,4264
3365,43,10096
3366,43,7576
3367,87,25576
3368,43,3368
3369,180,138400
3370,43,5056
3371,74,15172
3372,43,3796
3373,43,10120
3374,43,11392
3375,136,34180
3376,43,3376
3377,35,10132
3378,35,5704
3379,35,15208
3380,43,3380
3381,43,10144
3382,136,21688
3383,136,22840
3384,35,3384
3385,180,32560
3386,35,5080
3387,43,17152
3388,35,8584
3389,35,10168
3390,180,48904
3391,180,77272
3392,17,3392
3393,43,10180
3394,35,5092
3395,35,15280
3396,61,9232
3397,61,10192
3398,61,9232
3399,118,176740
3400,61,9232
3401,87,39364
3402,61,9232
3403,61,15316
3404,61,9232
3405,61,10216
3406,61,14560
3407,61,34504
3408,17,3408
3409,136,41524
3410,136,65608
3411,136,65608
3412,17,3412
3413,17,10240
3414,149,9232
3415,149,23056
3416,56,3416
3417,56,11536
3418,56,5128
3419,149,25972
3420,56,5776
3421,56,10264
3422,149,17332
3423,149,52000
3424,105,9232
3425,56,13012
3426,30,5140
3427,30,15424
3428,30,3428
3429,30,10288
3430,30,7720
3431,118,250504
3432,105,9232
3433,149,26080
3434,105,9232
3435,149,24784
3436,149,9232
3437,149,10312
3438,149,11608
3439,149,39184
3440,105,9232
3441,105,10324
3442,56,5812
3443,56,15496
3444,105,9232
3445,105,10336
3446,56,8728
3447,56,23272
3448,43,4372
3449,149,44224
3450,43,5176
3451,56,17476
3452,43,13120
3453,43,13120
3454,56,39364
3455,56,118096
3456,118,9232
3457,43,10372
3458,105,9232
3459,105,15568
3460,149,9232
3461,149,10384
3462,149,9232
3463,105,23380
3464,30,3464
3465,149,19744
3466,30,5200
3467,149,15604
3468,30,3904
3469,30,10408
3470,105,11716
3471,105,35152
3472,30,3472
3473,105,10420
3474,105,9232
3475,105,15640
3476,30,3476
3477,30,10432
3478,56,7828
3479,56,23488
3480,30,3480
3481,56,11752
3482,30,5224
3483,87,80512
3484,180,190996
3485,180,190996
3486,180,190996
3487,131,67048
3488,118,9232
3489,87,10468
3490,149,9232
3491,149,15712
3492,149,9232
3493,149,10480
3494,149,9232
3495,56,26548
3496,118,9232
3497,105,59776
3498,118,9232
3499,131,345544
3500,30,3940
3501,30,10504
3502,30,11824
3503,87,95956
3504,56,3504
3505,56,10516
3506,56,5920
3507,56,15784
3508,56,3508
3509,56,10528
3510,43,13336
3511,43,23704
3512,56,3512
3513,56,11860
3514,56,5272
3515,149,17800
3516,149,10024
3517,149,10552
3518,149,26728
3519,79,202984
3520,118,9232
3521,105,14308
3522,105,15064
3523,105,15856
3524,118,9232
3525,118,10576
3526,118,9232
3527,56,23812
3528,30,3528
3529,56,17872
3530,30,5296
3531,100,15892
3532,30,3976
3533,30,10600
3534,149,22660
3535,149,35800
3536,118,9232
3537,30,10612
3538,56,13444
3539,56,15928
3540,118,9232
3541,118,10624
3542,56,10096
3543,56,23920
3544,56,3544
3545,56,11968
3546,56,5320
3547,56,26944
3548,56,5992
3549,56,10648
3550,87,45520
3551,87,53944
3552,74,9232
3553,56,20248
3554,118,9232
3555,118,16000
3556,149,21688
3557,149,21688
3558,149,21688
3559,48,40552
3560,74,9232
3561,48,30436
3562,74,9232
3563,162,250504
3564,48,8584
3565,48,10696
3566,48,12040
3567,193,146500
3568,74,9232
3569,74,10708
3570,30,6784
3571,30,16072
3572,74,9232
3573,74,10720
3574,48,15280
3575,48,24136
3576,100,39364
3577,74,13588
3578,100,39364
3579,74,20392
3580,100,39364
3581,100,39364
3582,100,103336
3583,100,275560
3584,25,3584
3585,74,14560
3586,118,9232
3587,118,16144
3588,69,3588
3589,69,10768
3590,69,8080
3591,149,65608
3592,118,9232
3593,30,18196
3594,118,9232
3595,69,16180
3596,118,9232
3597,118,10792
3598,69,12148
3599,69,36448
3600,56,4372
3601,118,10804
3602,162,17332
3603,162,17332
3604,56,4372
3605,56,10816
3606,43,8116
3607,43,24352
3608,56,4372
3609,43,12184
3610,56,5416
3611,69,61720
3612,118,9232
3613,118,10840
3614,118,18304
3615,69,54916
3616,17,3616
3617,162,10852
3618,56,5428
3619,56,16288
3620,69,5812
3621,69,10864
3622,69,8152
3623,118,27520
3624,17,3624
3625,69,69712
3626,17,5440
3627,56,16324
3628,56,13120
3629,56,13120
3630,56,13120
3631,100,176740
3632,17,3632
3633,69,39364
3634,69,39364
3635,69,39364
3636,17,3636
3637,17,10912
3638,162,1276936
3639,162,1276936
3640,43,3640
3641,118,12292
3642,43,5464
3643,162,18448
3644,43,9232
3645,43,10936
3646,162,27700
3647,162,83104
3648,38,3648
3649,43,10948
3650,43,5476
3651,43,16432
3652,131,9232
3653,131,10960
3654,131,9232
3655,118,24676
3656,131,9232
3657,118,18520
3658,131,9232
3659,131,16468
3660,131,9232
